Date,all,less_food_energy,gasoline
2023-12,306.746,311.907,280.289
2023-11,307.051,311.606,297.598
2023-10,307.671,311.380,320.999
2023-09,307.789,310.817,338.893
2023-08,307.026,310.103,336.979
2023-07,305.691,309.402,318.071
2023-06,305.109,308.910,316.258
2023-05,304.127,308.096,314.116
2023-04,303.363,306.899,318.482
2023-03,301.836,305.476,302.673
2023-02,300.840,304.011,299.774
2023-01,299.170,301.962,294.759
2022-12,296.797,300.113,285.757
2022-11,297.711,299.600,326.649
2022-10,298.012,299.315,339.017
2022-09,296.808,298.442,328.918
2022-08,296.171,297.178,348.593
2022-07,296.276,295.646,396.952
2022-06,296.311,294.680,430.142
2022-05,292.296,292.506,391.262
2022-04,289.109,290.846,362.802
2022-03,287.504,289.305,366.499
2022-02,283.716,288.059,305.959
2022-01,281.148,285.996,290.416
2021-12,278.802,283.908,290.185
2021-11,277.948,282.754,296.571
2021-10,276.589,281.617,288.501
2021-09,274.310,279.884,278.338
2021-08,273.567,279.507,277.448
2021-07,273.003,279.146,275.656
2021-06,271.696,278.218,268.979
2021-05,269.195,275.893,263.170
2021-04,267.054,273.968,252.603
2021-03,264.877,271.713,247.652
2021-02,263.014,270.696,221.689
2021-01,261.582,269.755,207.406
2020-12,260.474,269.226,193.990
2020-11,260.229,269.473,187.609
2020-10,260.388,269.328,192.792
2020-09,260.280,269.054,195.888
2020-08,259.918,268.756,194.449
2020-07,259.101,267.703,194.397
2020-06,257.797,266.302,185.422
2020-05,256.394,265.799,168.528
2020-04,256.389,266.089,168.891
2020-03,258.115,267.312,202.205
2020-02,258.678,267.268,218.373
2020-01,257.971,266.004,227.010
2019-12,256.974,264.935,228.857
2019-11,257.208,265.108,232.575
2019-10,257.346,265.059,235.168
2019-09,256.759,264.522,231.496
2019-08,256.558,264.169,233.625
2019-07,256.571,263.566,244.000
2019-06,256.143,263.177,242.043
2019-05,256.092,262.590,254.551
2019-04,255.548,262.332,248.499
2019-03,254.202,261.836,225.282
2019-02,252.776,261.114,206.749
2019-01,251.712,260.122,201.194
2018-12,251.233,259.083,212.152
2018-11,252.038,259.105,235.381
2018-10,252.885,259.063,253.793
2018-09,252.439,258.429,252.216
2018-08,252.146,258.012,251.367
2018-07,252.006,257.867,252.232
2018-06,251.989,257.697,255.885
2018-05,251.588,257.469,255.096
2018-04,250.546,257.025,240.962
2018-03,249.554,256.610,226.872
2018-02,248.991,255.783,227.420
2018-01,247.867,254.638,223.806
2017-12,246.524,253.558,216.781
2017-11,246.669,253.492,224.227
2017-10,246.663,253.638,218.591
2017-09,246.819,252.941,231.182
2017-08,245.519,252.460,209.000
2017-07,244.786,251.936,201.173
2017-06,244.955,252.014,205.881
2017-05,244.733,251.835,209.441
2017-04,244.524,251.642,212.424
2017-03,243.801,251.290,204.217
2017-02,243.603,251.143,201.957
2017-01,242.839,250.083,206.360
2016-12,241.432,249.134,195.915
2016-11,241.353,249.227,192.522
2016-10,241.729,249.218,197.357
2016-09,241.428,248.731,193.817
2016-08,240.849,248.278,189.375
2016-07,240.628,247.744,195.243
2016-06,241.018,247.794,206.681
2016-05,240.229,247.544,198.011
2016-04,239.261,246.992,185.808
2016-03,238.132,246.358,170.356
2016-02,237.111,245.680,154.564
2016-01,236.916,244.528,171.574
2015-12,236.525,243.779,179.496
2015-11,237.336,244.075,190.701
2015-10,237.838,243.985,199.077
2015-09,237.945,243.359,207.239
2015-08,238.316,242.651,230.513
2015-07,238.654,242.436,243.736
2015-06,238.638,242.354,244.226
2015-05,237.805,242.119,238.170
2015-04,236.599,241.802,215.461
2015-03,236.119,241.067,215.442
2015-02,234.722,240.083,194.883
2015-01,233.707,239.248,185.142
2014-12,234.812,238.775,223.404
2014-11,236.151,239.248,251.172
2014-10,237.433,239.413,275.729
2014-09,238.031,238.841,294.222
2014-08,237.852,238.296,300.640
2014-07,238.250,238.138,313.514
2014-06,238.343,238.157,318.334
2014-05,237.900,238.029,317.434
2014-04,237.072,237.509,315.335
2014-03,236.293,236.913,304.464
2014-02,234.781,236.075,289.814
2014-01,233.916,235.367,286.607
